document_id,paginas_pdf,paginas_ausentes,internas,finais,substantivas,indice_capa,sem_texto,decisao,destino,observacao
ethics_governance_ai_health_WHO_2021,165,"1, 3-4, 7, 130-165","1, 3-4, 7",130-165,"4, 7, 130-164","3, 165",,,,
plano_brasileiro_ia_BR_2025,108,"1-3, 9-10, 30, 53, 94, 106-108","1-3, 9-10, 30, 53, 94",106-108,,"9, 53","1-2, 10, 30, 94, 106-108",,,
de_identifying_government_datasets_NIST_2023,122,"1, 6, 13, 42, 44-45, 92-122","1, 6, 13, 42, 44-45",92-122,"13, 42, 45, 92-113, 115-122",1,,,,
multimodal_models_guidance_WHO_2024,98,"1-3, 5-7, 9, 24-25, 47-49, 80-98","1-3, 5-7, 9, 24-25, 47-49",80-98,"6-7, 80-95","5, 98","2, 24-25, 47-49, 96-97",,,
regulatory_considerations_ai_health_WHO_2024,80,"1-3, 5-6, 8, 16, 19, 23, 27, 35, 42, 48, 54, 67-80","1-3, 5-6, 8, 16, 19, 23, 27, 35, 42, 48, 54",67-80,"6, 67-77","5, 8, 80","1-3, 16, 42, 78-79",,,
ethical_impact_assessment_UNESCO_2023,51,"1, 3-4, 9, 17, 48-51","1, 3-4, 9, 17",48-51,"1, 3, 48-51",4,"9, 17",,,
global_digital_health_strategy_WHO_2020_2027,60,"1, 3-5, 8, 11, 16, 20, 31, 38, 40, 46-47, 60","1, 3-5, 8, 11, 16, 20, 31, 38, 40, 46-47",60,4-5,3,"1, 8, 11, 16, 20, 31, 38, 46, 60",,,
codigo_etica_medica_CFM_2019,110,"1-3, 5-8, 12, 16, 20, 26, 32, 38, 40, 42, 46, 48, 52-82, 86, 102, 104, 107-110","1-3, 5-8, 12, 16, 20, 26, 32, 38, 40, 42, 46, 48, 52-82, 86, 102, 104",107-110,"38, 40, 56-79, 81-82","7-8, 55, 80","1-2, 5-6, 12, 16, 20, 26, 32, 42, 46, 48, 52-54, 86, 104, 108-109",,,
