document_id,page,total_pages,status,reason,raw_chars,clean_chars,chunks_generated
ai_framework_convention_council_europe_2024,8,12,INDEXED,,3490,2996,3
ai_framework_convention_council_europe_2024,9,12,INDEXED,,3329,2836,3
ai_framework_convention_council_europe_2024,10,12,INDEXED,,3622,3123,3
ai_framework_convention_council_europe_2024,11,12,INDEXED,,3401,2864,3
ai_framework_convention_council_europe_2024,12,12,INDEXED,,1012,722,1
ai_ml_discussion_paper_FDA_2021,1,20,NONINFORMATIVE_REMOVED,boilerplate_or_url_only,96,17,0
ai_ml_discussion_paper_FDA_2021,2,20,INDEXED,,4269,3660,4
ai_ml_discussion_paper_FDA_2021,3,20,INDEXED,,3479,3357,4
ai_ml_discussion_paper_FDA_2021,4,20,INDEXED,,4321,3809,4
ai_ml_discussion_paper_FDA_2021,5,20,INDEXED,,3858,3241,4
ai_ml_discussion_paper_FDA_2021,6,20,INDEXED,,3818,3602,4
ai_ml_discussion_paper_FDA_2021,7,20,INDEXED,,3404,2973,3
ai_ml_discussion_paper_FDA_2021,8,20,INDEXED,,1465,1158,1
ai_ml_discussion_paper_FDA_2021,9,20,INDEXED,,2943,2772,3
ai_ml_discussion_paper_FDA_2021,10,20,INDEXED,,3214,3031,3
ai_ml_discussion_paper_FDA_2021,11,20,INDEXED,,1948,1778,2
ai_ml_discussion_paper_FDA_2021,12,20,INDEXED,,3399,3176,4
ai_ml_discussion_paper_FDA_2021,13,20,INDEXED,,1535,1440,2
ai_ml_discussion_paper_FDA_2021,14,20,INDEXED,,3478,3324,4
ai_ml_discussion_paper_FDA_2021,15,20,INDEXED,,3219,3039,4
ai_ml_discussion_paper_FDA_2021,16,20,INDEXED,,3256,3130,3
ai_ml_discussion_paper_FDA_2021,17,20,INDEXED,,3351,3218,4
ai_ml_discussion_paper_FDA_2021,18,20,INDEXED,,3430,3307,4
ai_ml_discussion_paper_FDA_2021,19,20,INDEXED,,3448,3328,4
ai_ml_discussion_paper_FDA_2021,20,20,INDEXED,,1851,1731,2
